time,history
2022-08-29 22:29:56.973647,Pee
2022-08-29 22:40:43.191381,Pee and Poop
2022-08-30 06:03:19.025709,Pee and Poop
2022-08-30 08:31:19.673550,Pee and Poop
2022-08-30 08:51:26.963204,Breakfast
2022-08-30 08:51:28.054899,Walk
2022-08-30 12:55:00.000000,Accident
2022-08-30 12:57:06.409870,Poop
2022-08-30 16:07:15.349468,Pee
2022-08-30 17:29:39.579382,Excursion
2022-08-30 17:30:12.673824,Pee
2022-08-30 21:08:20.129411,Accident
2022-08-31 08:57:46.144182,Pee and Poop
2022-08-31 09:05:47.428674,Breakfast
2022-08-31 11:04:14.392820,Crate
2022-08-31 11:49:00.502934,Pee and Poop
2022-08-31 11:53:31.663980,Vommit
2022-08-31 13:00:00.000000,Skin
2022-08-31 15:21:17.310217,Pee
2022-08-31 15:21:19.063696,Walk
2022-08-31 15:37:17.163711,Play
2022-08-31 16:39:12.667223,Play
2022-08-31 17:02:02.110380,Pee
2022-08-31 18:00:15.343775,Play
2022-08-31 18:58:12.644130,Crate
2022-08-31 19:37:30.242921,Pee
2022-08-31 19:37:31.992595,Crate
2022-08-31 20:30:01.119190,Pee
2022-08-31 22:00:59.837149,Excursion
2022-08-31 22:02:59.215172,Walk
2022-08-31 22:03:01.854415,Pee
2022-08-31 22:05:21.918799,Dinner
2022-08-31 22:13:31.939932,Accident
2022-09-01 08:32:43.743331,Pee
2022-09-01 08:43:28.334860,Poop
2022-09-01 09:13:32.736674,Walk         
2022-09-01 09:15:10.315465,Breakfast
2022-09-01 12:30:46.853906,Skin
2022-09-01 16:02:34.698299,Pee
2022-09-01 18:46:49.640318,Walk
2022-09-01 18:46:49.779217,Pee
2022-09-01 18:51:52.249243,Dinner
2022-09-01 19:16:04.384892,Pee and Poop
2022-09-01 19:16:06.003071,Crate
2022-09-01 21:04:48.324620,Pee
2022-09-01 23:00:00.000000,Accident
2022-09-02 09:22:07.821035,Pee
2022-09-02 09:23:23.125911,Breakfast
2022-09-02 10:46:36.760800,Poop
2022-09-02 10:46:38.561647,Walk
2022-09-02 10:46:39.977639,Excursion
2022-09-02 10:46:42.084591,Pee
2022-09-02 14:22:18.522222,Skin
2022-09-02 14:29:21.446185,Pee
2022-09-02 15:06:11.172150,Walk
2022-09-02 15:55:28.908451,Pee
2022-09-02 16:03:29.278571,Crate
2022-09-02 16:19:51.011940,Play
2022-09-02 18:30:47.179330,Play
2022-09-02 18:52:12.554784,Dinner
2022-09-02 19:08:38.775206,Pee
2022-09-02 21:39:20.371207,Pee
2022-09-03 08:16:23.719758,Pee and Poop
2022-09-03 09:57:27.813095,Walk
2022-09-03 09:57:29.840832,Poop
2022-09-03 09:58:35.663498,Breakfast
2022-09-03 13:50:34.328597,Pee
2022-09-03 15:14:26.621754,Play
2022-09-03 15:45:18.327259,Accident
2022-09-03 15:50:48.024436,Pee
2022-09-03 19:03:35.335199,Pee
2022-09-03 21:37:45.079579,Pee and Poop
2022-09-03 22:04:51.512142,Crate
2022-09-03 23:02:14.194876,Skin
2022-09-03 23:21:06.079280,Pee
2022-09-04 09:05:44.731800,Pee and Poop
2022-09-04 09:44:02.009694,Breakfast
2022-09-04 11:01:25.993058,Crate
2022-09-04 13:13:58.654389,Walk
2022-09-04 13:13:58.919584,Pee
2022-09-04 13:17:19.550960,Play
2022-09-04 14:28:38.855198,Play
2022-09-04 17:27:19.517576,Pee
2022-09-04 17:32:09.721687,Play
2022-09-04 17:43:38.635705,Dinner
2022-09-04 21:01:38.795436,Poop
2022-09-04 21:01:40.040892,Walk
2022-09-04 21:01:41.120784,Excursion
2022-09-04 21:01:42.810157,Pee
2022-09-05 08:50:06.725742,Pee and Poop
2022-09-05 09:03:13.781966,Play
2022-09-05 11:30:14.035036,Pee and Poop
2022-09-05 11:30:16.789087,Walk
2022-09-05 11:30:19.303864,Play
2022-09-05 14:49:04.582388,Pee
2022-09-05 14:56:25.921155,Play
2022-09-05 16:46:45.479424,Pee
2022-09-05 16:46:52.137277,Play
2022-09-05 16:46:58.896589,Dinner
2022-09-05 16:47:00.000000,Crate
2022-09-05 22:18:45.851717,Pee
2022-09-06 08:2s1:56.110009,Pee
2022-09-06 08:21:57.771955,Breakfast
2022-09-06 09:07:46.685736,Play
2022-09-06 09:16:05.743762,Crate
2022-09-06 11:50:00.293356,Pee
2022-09-06 12:48:18.032830,Play
2022-09-06 14:29:20.858407,Pee
2022-09-06 20:09:11.032743,Pee
2022-09-06 20:09:15.859436,Walk
2022-09-06 20:09:16.592021,Poop
2022-09-06 20:09:17.499786,Excursion
2022-09-06 20:09:19.124550,Pee
2022-09-06 20:09:49.490208,Skin
2022-09-06 20:33:38.327244,Play
2022-09-06 22:26:15.546298,Pee
2022-09-07 08:08:02.184171,Pee and Poop
2022-09-07 08:21:56.391726,Play
2022-09-07 08:21:58.105806,Breakfast
2022-09-07 09:44:46.212153,Pee
2022-09-07 09:44:47.352988,Walk
2022-09-07 12:27:47.390254,Pee
2022-09-07 16:11:25.671995,Pee
2022-09-07 16:50:50.072666,Play
2022-09-07 17:05:08.387816,Poop
2022-09-07 17:49:38.558224,Play
2022-09-07 20:08:55.479993,Pee
2022-09-07 21:08:07.197984,Walk
2022-09-07 21:08:54.704443,Excursion
2022-09-07 21:08:55.479993,Pee
2022-09-08 08:20:01.852704,Pee
2022-09-08 08:20:05.325803,Play
2022-09-08 08:24:42.944864,Accident
2022-09-08 08:28:56.815836,Breakfast
2022-09-08 13:20:41.821599,Pee
2022-09-08 15:21:12.003814,Skin
2022-09-08 17:25:51.200560,Walk
2022-09-08 17:25:52.331416,Pee
2022-09-08 17:25:52.577958,Poop
2022-09-08 18:38:47.842175,Dinner
2022-09-08 18:45:00.000000, Crate
2022-09-08 22:16:35.615079,Pee
2022-09-09 08:15:39.410902,Walk
2022-09-09 08:15:39.994274,Pee
2022-09-09 08:15:40.274411,Poop
2022-09-09 08:37:36.107107,Play
2022-09-09 09:44:38.443307,Breakfast
2022-09-09 11:10:18.233910,Pee
2022-09-09 11:10:19.364666,Walk
2022-09-09 13:10:36.961683,Pee
2022-09-09 14:10:37.668839,Excursion
2022-09-09 16:47:27.817191,Pee
2022-09-09 17:43:38.665841,Dinner
